"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Streamline Discs","Lift","176.0","21.2","1.7","1.2","17.2","2.0","5.7","28.00","11.93","","","","19-36","Apr 17, 2019"
"Infinite Discs","Scarab","176.0","21.2","2.1","1.5","19.2","1.0","7.1","62.50","11.02","","","","19-28","Apr 3, 2019"
"Storm Disc Golf","Abyss","175.1","21.1","1.6","1.1","17.1","2.0","5.2","31.75","11.82","","","","19-35","Apr 3, 2019"
"Discmania","Fox Spirit","176.0","21.2","1.8","1.3","17.9","1.6","6.1","39.75","11.59","","","","19-30","Apr 3, 2019"
"Infinite Discs","Scepter","176.0","21.2","1.4","1.1","17.3","1.9","5.2","28.25","10.45","","","","19-29","Apr 3, 2019"
"Discmania","Guardian Lion","176.0","21.2","1.8","1.4","19.1","1.0","6.6","59.25","10.68","","","","19-31","Apr 3, 2019"
"Discmania","Mentor (originally Sea Serpent)","176.0","21.2","1.8","1.2","17.9","2.1","5.7","39.75","11.59","","","","19-32","Apr 3, 2019"
"Discmania","Maestro (originally Spring Ox)","176.8","21.3","1.7","1.3","19.2","1.0","6.1","55.25","9.43","","","","19-33","Apr 3, 2019"
"Discmania","Sun Crow","175.1","21.1","1.7","1.2","17.7","1.7","5.7","29.50","12.15","","","","19-34","Apr 3, 2019"
"Disctroyer OÜ","Starling (Kuldnokk)","174.3","21.0","1.7","1.2","16.2","2.4","5.7","27.00","6.82","","","","19-26","Mar 20, 2019"
"Disc Golf UK Ltd.","The Baron","176.0","21.2","2.0","1.6","18.7","2.3","7.5","62.25","10.68","","","","19-23","Mar 20, 2019"
"Millennium Golf Discs","Falcon","175.1","21.1","1.4","1.1","16.3","2.4","5.2","30.25","12.25","","","","19-22","Mar 20, 2019"
